iter	RMSE
0	0.3968346025
1	0.3942006165
2	0.391823074
3	0.3892121669
4	0.3869811286
5	0.3846842196
6	0.3822011324
7	0.3798942501
8	0.3774946297
9	0.3750809017
10	0.3728491172
11	0.3706381564
12	0.3683916608
13	0.3661474634
14	0.3639499784
15	0.3616450211
16	0.3593882058
17	0.3572666605
18	0.354973434
19	0.3529079919
20	0.350814055
21	0.3486838497
22	0.3466180524
23	0.3443697866
24	0.3423410833
25	0.3402913136
26	0.3381811612
27	0.3362934693
28	0.3343160993
29	0.3326171089
30	0.3306174707
31	0.3287100475
32	0.3266812299
33	0.3248170715
34	0.3229473923
35	0.3209623337
36	0.3190274224
37	0.3170680224
38	0.3152818882
39	0.3134711134
40	0.3117066893
41	0.3100693016
42	0.3081778871
43	0.3065267838
44	0.3048358185
45	0.3031364536
46	0.3013985747
47	0.2996149304
48	0.2978102764
49	0.2961476892
50	0.2945691408
51	0.2928665411
52	0.2911909871
53	0.2896491104
54	0.2880632498
55	0.2865937307
56	0.2851160533
57	0.2836249521
58	0.2821025078
59	0.2806922345
60	0.2790835904
61	0.2775153422
62	0.2760533548
63	0.2745859836
64	0.2730122446
65	0.2716276196
66	0.2702879808
67	0.2688415777
68	0.267470027
69	0.2662139616
70	0.2648631417
71	0.2634492117
72	0.2621370729
73	0.2608160909
74	0.2595543444
75	0.2583166857
76	0.2570431888
77	0.2557428178
78	0.2545236246
79	0.2533366876
80	0.2521586144
81	0.2509997292
82	0.2498178225
83	0.248621259
84	0.2474773145
85	0.2462594257
86	0.2451164254
87	0.243964232
88	0.2428997105
89	0.2418444885
90	0.2406590745
91	0.2395106163
92	0.23842233
93	0.2372366065
94	0.2361040535
95	0.2350288636
96	0.2339894917
97	0.2330228045
98	0.2319673978
99	0.230944662
100	0.229997103
101	0.2290240714
102	0.2279596611
103	0.2270386814
104	0.2260622076
105	0.224974291
106	0.2240600572
107	0.2230619885
108	0.2221172001
109	0.2211665398
110	0.2202015707
111	0.2193527032
112	0.2184100918
113	0.2174997205
114	0.2167040247
115	0.2158319774
116	0.2149580457
117	0.2140499549
118	0.2132376925
119	0.2123974161
120	0.2116869367
121	0.2108742917
122	0.210009564
123	0.2091939254
124	0.2084089694
125	0.2077998415
126	0.206973969
127	0.2061055657
128	0.2052987083
129	0.2044870384
130	0.2037506834
131	0.2029448846
132	0.2022780902
133	0.2015161787
134	0.2007928423
135	0.2000768733
136	0.1993836588
137	0.1987157923
138	0.1979923326
139	0.1972949416
140	0.1966284615
141	0.1959919537
142	0.1952239972
143	0.1945801276
144	0.1939687819
145	0.1933241099
146	0.1926333221
147	0.1919506858
148	0.1913133331
149	0.1906673717
150	0.1900388979
151	0.1894736121
152	0.1889289364
153	0.188283435
154	0.1876688915
155	0.1870696321
156	0.1865021884
157	0.1858749658
158	0.1852508849
159	0.1846235468
160	0.1839952874
161	0.183421971
162	0.1828473889
163	0.1822582293
164	0.1816892894
165	0.1811582153
166	0.1805941814
167	0.1800219922
168	0.179489102
169	0.1789746023
170	0.1784559439
171	0.1779412803
172	0.1774809069
173	0.1769326611
174	0.1764052062
175	0.1759770118
176	0.175442118
177	0.1749424327
178	0.1744640047
179	0.1740144041
180	0.1735197463
181	0.1730403733
182	0.1725494423
183	0.1720895496
184	0.1715966381
185	0.1711425735
186	0.1706998176
187	0.1702654249
188	0.1698009416
189	0.1693540225
190	0.1689476458
191	0.1684893885
192	0.1680697958
193	0.1676317727
194	0.1671950301
195	0.1668399435
196	0.1664343226
197	0.1660281864
198	0.1656707815
199	0.1652343542
200	0.1648314506
201	0.164473407
202	0.1640956634
203	0.1636994503
204	0.163265321
205	0.1629062463
206	0.1625628682
207	0.1622051827
208	0.1618596035
209	0.1614269124
210	0.1610530274
211	0.1606691706
212	0.1602861962
213	0.1599176733
214	0.1595887325
215	0.1592611363
216	0.1589541926
217	0.158576734
218	0.1582507587
219	0.1579041107
220	0.1576225552
221	0.1573154044
222	0.1569960594
223	0.1566460827
224	0.1563081822
225	0.1560056171
226	0.1556849121
227	0.1553533637
228	0.1550646201
229	0.1547513504
230	0.1544745562
231	0.154190897
232	0.1539080111
233	0.153585467
234	0.1533116345
235	0.1529870098
236	0.1526695584
237	0.1524372546
238	0.152108135
239	0.1517892882
240	0.1515064947
241	0.1512581103
242	0.1509735395
243	0.1506799508
244	0.1504326999
245	0.1501009436
246	0.149824254
247	0.1495405901
248	0.1493203471
249	0.1490314892
250	0.1487566411
251	0.1485160944
252	0.1482419278
253	0.1479916708
254	0.1477294636
255	0.1475154266
256	0.1473009387
257	0.147082486
258	0.1468041496
259	0.1465331925
260	0.1462640377
261	0.1460078706
262	0.1457576668
263	0.1455254937
264	0.1452949409
265	0.14503889
266	0.1447772888
267	0.1445463352
268	0.144331448
269	0.1440989291
270	0.1438504599
271	0.1436390571
272	0.1433852599
273	0.143162454
274	0.142926997
275	0.142681206
276	0.1424538254
277	0.1422250273
278	0.1419931976
279	0.1417853513
280	0.1415870324
281	0.1413570757
282	0.1411518084
283	0.1409546005
284	0.1407486841
285	0.1405275038
286	0.1403257187
287	0.1401095394
288	0.1398951806
289	0.1396861414
290	0.1394963915
291	0.1393098075
292	0.1391279259
293	0.1389447729
294	0.1387544137
295	0.1385224019
296	0.1383236437
297	0.138122433
298	0.1379421865
299	0.137754347
300	0.1375751566
301	0.1373929834
302	0.1371994978
303	0.1370305056
304	0.1368786479
305	0.1366938422
306	0.136498428
307	0.1363100476
308	0.1361508893
309	0.1359600524
310	0.1358113018
311	0.1356254845
312	0.1354602322
313	0.1352854821
314	0.1351406363
315	0.1349774502
316	0.1347937362
317	0.1346408228
318	0.134460872
319	0.1343054852
320	0.1341601797
321	0.1339956921
322	0.1338567338
323	0.1336775005
324	0.1334832283
325	0.13331376
326	0.1331362486
327	0.1329562432
328	0.1327835634
329	0.132640716
330	0.1324787388
331	0.1323006178
332	0.1321487162
333	0.1319968108
334	0.1318331788
335	0.1316687587
336	0.1315254352
337	0.1314026526
338	0.1312493849
339	0.1310921107
340	0.1309411283
341	0.1308005075
342	0.1306519041
343	0.1305278047
344	0.1303880078
345	0.1302270298
346	0.1301021921
347	0.1299822558
348	0.1298455538
349	0.129693001
350	0.1295382228
351	0.1294346532
352	0.1293013775
353	0.1291730527
354	0.1290535323
355	0.1289056592
356	0.128773589
357	0.1286466366
358	0.1285111177
359	0.1283702585
360	0.1282258062
361	0.128081993
362	0.1279303543
363	0.1277943637
364	0.1276835507
365	0.1275843628
366	0.12743809
367	0.1273029295
368	0.127180781
369	0.1270836797
370	0.1269459371
371	0.1268188779
372	0.1266899412
373	0.1265677425
374	0.1264518612
375	0.1263455483
376	0.1262306621
377	0.1261161519
378	0.1259950596
379	0.1258813958
380	0.1257499112
381	0.1256626414
382	0.1255358482
383	0.1253907781
384	0.1252827606
385	0.1251434051
386	0.1250380617
387	0.1248912822
388	0.1247539628
389	0.1246509847
390	0.1245646448
391	0.1244700736
392	0.1243556883
393	0.124262562
394	0.1241275684
395	0.1240044009
396	0.1238724772
397	0.1237584107
398	0.1236437124
399	0.1235192212
400	0.1233911786
401	0.123256517
402	0.12315158
403	0.1230271342
404	0.1229453722
405	0.1228377641
406	0.1227467687
407	0.1226596105
408	0.1225214586
409	0.1223974778
410	0.1222986165
411	0.1221739946
412	0.1220946544
413	0.1219867193
414	0.1218976028
415	0.1218095527
416	0.1217073232
417	0.121586631
418	0.1214692828
419	0.1213695922
420	0.1212711458
421	0.1211758534
422	0.1210983085
423	0.1210044009
424	0.1208843764
425	0.1207620779
426	0.120662163
427	0.1205591569
428	0.120475908
429	0.1203951728
430	0.1203032446
431	0.1201833233
432	0.1201074327
433	0.1200245117
434	0.1199298228
435	0.1198142629
436	0.1197263091
437	0.1196313607
438	0.1195263388
439	0.1194162375
440	0.1193379676
441	0.1192469181
442	0.1191519134
443	0.119072861
444	0.1189976039
445	0.1188774523
446	0.1188066928
447	0.1187162117
448	0.1186191003
449	0.1185182487
450	0.1184342546
451	0.1183427721
452	0.1182519118
453	0.1181678074
454	0.1180802748
455	0.1180089949
456	0.1179417512
457	0.1178461782
458	0.1177606576
459	0.1176754599
460	0.1175973368
461	0.1175118255
462	0.1174286342
463	0.1173504862
464	0.1172576651
465	0.1171671079
466	0.1170852789
467	0.1170008762
468	0.1169279197
469	0.1168309086
470	0.1167565212
471	0.1166796937
472	0.1166060806
473	0.1165165715
474	0.1164233035
475	0.116365852
476	0.1162757636
477	0.1162110115
478	0.116119121
479	0.1160382274
480	0.1159500773
481	0.115866664
482	0.1157685199
483	0.1156790075
484	0.1156120252
485	0.1155275192
486	0.1154552657
487	0.1153839149
488	0.1153063592
489	0.1152331339
490	0.1151503738
491	0.1150559851
492	0.1149983419
493	0.1149144522
494	0.1148326932
495	0.1147791112
496	0.1147034424
497	0.1146228214
498	0.1145371465
499	0.1144576109
500	0.1143829225
501	0.1142988617
502	0.1142289134
503	0.1141533374
504	0.1140865369
505	0.1140129657
506	0.1139439389
507	0.1138830226
508	0.1137814622
509	0.1137066254
510	0.1136390398
511	0.1135607528
512	0.1134998317
513	0.1134341568
514	0.1133711305
515	0.1132995535
516	0.1132288212
517	0.1131628326
518	0.1131026587
519	0.1130134991
520	0.1129243692
521	0.1128689872
522	0.1127878093
523	0.1127277433
524	0.1126658424
525	0.1125976078
526	0.1125367752
527	0.1124604825
528	0.1123965873
529	0.1123196442
530	0.1122634389
531	0.1121912912
532	0.112109363
533	0.1120561509
534	0.1120048858
535	0.1119472363
536	0.1118997786
537	0.1118495693
538	0.1117817245
539	0.1117031057
540	0.1116321871
541	0.1115671758
542	0.1114969215
543	0.111430827
544	0.1113757332
545	0.1113166405
546	0.1112525333
547	0.1111889558
548	0.1111133263
549	0.1110576007
550	0.1109811759
551	0.1109176102
552	0.1108454669
553	0.1107838769
554	0.1107117023
555	0.1106348605
556	0.1105689296
557	0.1104866261
558	0.1104164901
559	0.1103619272
560	0.1102890404
561	0.1102227167
562	0.1101710643
563	0.1101063773
564	0.1100435677
565	0.1099963516
566	0.1099284278
567	0.1098839358
568	0.1098248472
569	0.1097804788
570	0.1097381015
571	0.1096718087
572	0.1096231933
573	0.1095741996
574	0.1095331042
575	0.1094561906
576	0.1094041158
577	0.1093438262
578	0.1092764277
579	0.1092334878
580	0.1091864583
581	0.1091219288
582	0.109065951
583	0.1090192009
584	0.1089419363
585	0.1089060006
586	0.1088495343
587	0.1087864223
588	0.1087271121
589	0.1086744092
590	0.1086128667
591	0.1085627924
592	0.1085197979
593	0.108489122
594	0.1084322334
595	0.1083852832
596	0.1083453661
597	0.1082917026
598	0.1082431401
599	0.108193344
600	0.1081448204
601	0.1080830364
602	0.1080279621
603	0.1079648628
604	0.107911188
605	0.1078599725
606	0.1078147946
607	0.1077680008
608	0.1077171608
609	0.1076537845
610	0.1075992594
611	0.1075505674
612	0.1075003408
613	0.1074530217
614	0.1074113855
615	0.1073458815
616	0.1072932893
617	0.1072455723
618	0.1072081837
619	0.1071713151
620	0.1071296231
621	0.1070948555
622	0.1070398838
623	0.1069895509
624	0.1069397078
625	0.106886856
626	0.106829083
627	0.1067553517
628	0.106711896
629	0.1066573513
630	0.1066081488
631	0.1065527057
632	0.1064900856
633	0.1064437046
634	0.1064009066
635	0.1063548511
636	0.1063121884
637	0.1062717885
638	0.1062322955
639	0.1061886677
640	0.1061349583
641	0.1060814608
642	0.1060297087
643	0.1060031448
644	0.1059651117
645	0.1058983128
646	0.1058572903
647	0.105804447
648	0.1057456604
649	0.1057011105
650	0.1056641788
651	0.1056171184
652	0.1055758027
653	0.1055288797
654	0.1054829017
655	0.1054369822
656	0.1053935517
657	0.1053470129
658	0.1053140512
659	0.1052552611
660	0.1051932298
661	0.1051526205
662	0.105108702
663	0.1050575194
664	0.1050000027
665	0.1049438863
666	0.1049006031
667	0.1048653851
