iter	Passed	Remaining
0	147	441456
1	154	231227
2	160	160486
3	166	124435
4	170	102020
5	173	86650
6	176	75561
7	179	67249
8	182	60803
9	186	55629
10	189	51406
11	192	47909
12	195	44930
13	198	42413
14	202	40276
15	205	38331
16	208	36613
17	211	35095
18	214	33729
19	218	32521
20	221	31465
21	224	30455
22	228	29532
23	231	28686
24	234	27939
25	238	27224
26	241	26550
27	244	25953
28	247	25379
29	251	24849
30	254	24359
31	257	23920
32	261	23495
33	264	23084
34	267	22702
35	271	22339
36	274	21996
37	278	21694
38	281	21378
39	284	21084
40	288	20812
41	291	20557
42	295	20312
43	298	20080
44	302	19846
45	305	19615
46	309	19428
47	313	19252
48	316	19072
49	320	18906
50	326	18900
51	334	18948
52	338	18843
53	342	18711
54	347	18594
55	351	18477
56	355	18380
57	360	18261
58	364	18162
59	368	18070
60	373	17994
61	378	17951
62	384	17927
63	389	17865
64	394	17800
65	399	17763
66	409	17923
67	415	17895
68	420	17859
69	425	17829
70	431	17789
71	436	17750
72	444	17805
73	449	17766
74	454	17719
75	459	17666
76	466	17692
77	470	17636
78	475	17594
79	481	17575
80	486	17538
81	491	17476
82	495	17421
83	500	17370
84	505	17329
85	510	17308
86	515	17268
87	520	17225
88	524	17162
89	530	17137
90	534	17087
91	538	17033
92	543	16987
93	548	16952
94	552	16906
95	557	16870
96	562	16837
97	567	16812
98	572	16775
99	578	16762
100	586	16828
101	595	16928
102	603	16973
103	618	17234
104	631	17408
105	646	17663
106	654	17687
107	662	17738
108	673	17862
109	686	18046
110	694	18088
111	703	18140
112	711	18174
113	726	18389
114	733	18389
115	741	18442
116	756	18645
117	768	18759
118	782	18947
119	795	19096
120	804	19133
121	812	19158
122	817	19124
123	825	19145
124	837	19268
125	845	19277
126	853	19310
127	863	19367
128	871	19394
129	881	19462
130	889	19473
131	901	19594
132	912	19668
133	918	19640
134	930	19748
135	940	19807
136	947	19799
137	955	19825
138	964	19849
139	972	19859
140	979	19861
141	989	19907
142	997	19931
143	1006	19952
144	1013	19951
145	1024	20036
146	1035	20104
147	1042	20095
148	1056	20209
149	1065	20253
150	1074	20269
151	1085	20329
152	1094	20358
153	1101	20361
154	1109	20361
155	1120	20433
156	1128	20439
157	1135	20425
158	1141	20389
159	1147	20374
160	1156	20388
161	1162	20366
162	1168	20331
163	1173	20286
164	1177	20234
165	1182	20182
166	1186	20130
167	1191	20077
168	1195	20024
169	1200	19977
170	1204	19921
171	1208	19870
172	1213	19823
173	1217	19775
174	1221	19724
175	1225	19670
176	1230	19620
177	1234	19571
178	1238	19523
179	1244	19492
180	1248	19449
181	1253	19401
182	1257	19357
183	1261	19312
184	1266	19268
185	1270	19224
186	1275	19181
187	1279	19139
188	1283	19094
189	1288	19057
190	1292	19013
191	1297	18972
192	1301	18928
193	1305	18888
194	1310	18849
195	1314	18812
196	1319	18772
197	1323	18734
198	1328	18693
199	1332	18653
200	1337	18619
201	1341	18583
202	1346	18546
203	1350	18512
204	1355	18476
205	1359	18437
206	1363	18404
207	1368	18366
208	1372	18330
209	1376	18294
210	1381	18262
211	1386	18228
212	1390	18196
213	1395	18163
214	1399	18127
215	1403	18092
216	1408	18058
217	1412	18024
218	1416	17988
219	1420	17955
220	1425	17924
221	1429	17891
222	1434	17858
223	1438	17823
224	1443	17799
225	1447	17769
226	1452	17743
227	1457	17715
228	1461	17689
229	1466	17664
230	1471	17638
231	1477	17623
232	1482	17602
233	1487	17580
234	1495	17598
235	1501	17585
236	1508	17585
237	1514	17570
238	1519	17556
239	1525	17538
240	1530	17523
241	1540	17551
242	1547	17555
243	1554	17562
244	1562	17565
245	1570	17582
246	1580	17612
247	1587	17616
248	1594	17619
249	1602	17623
250	1610	17637
251	1617	17634
252	1657	18001
253	1687	18242
254	1708	18391
255	1718	18420
256	1725	18413
257	1732	18414
258	1741	18432
259	1748	18425
260	1758	18457
261	1768	18480
262	1776	18490
263	1788	18534
264	1797	18547
265	1808	18583
266	1820	18632
267	1827	18627
268	1836	18641
269	1842	18634
270	1854	18677
271	1864	18704
272	1871	18693
273	1878	18689
274	1886	18694
275	1906	18811
276	1919	18867
277	1931	18916
278	1941	18932
279	1951	18954
280	1963	19001
281	1970	18993
282	1980	19018
283	1988	19018
284	2004	19092
285	2016	19138
286	2024	19136
287	2034	19158
288	2050	19230
289	2066	19307
290	2079	19359
291	2089	19376
292	2103	19431
293	2115	19468
294	2128	19520
295	2137	19527
296	2143	19510
297	2149	19488
298	2154	19462
299	2159	19435
300	2164	19406
301	2168	19376
302	2173	19350
303	2178	19318
304	2183	19289
305	2187	19260
306	2192	19232
307	2197	19203
308	2201	19175
309	2206	19145
310	2211	19118
311	2215	19089
312	2220	19061
313	2224	19032
314	2229	19005
315	2234	18979
316	2239	18953
317	2243	18924
318	2248	18896
319	2253	18871
320	2258	18846
321	2262	18818
322	2267	18790
323	2271	18762
324	2276	18735
325	2280	18709
326	2285	18681
327	2289	18654
328	2294	18626
329	2298	18599
330	2303	18571
331	2307	18540
332	2312	18521
333	2317	18500
334	2322	18474
335	2327	18454
336	2331	18425
337	2336	18398
338	2340	18369
339	2344	18341
340	2348	18313
341	2352	18286
342	2357	18259
343	2361	18233
344	2365	18207
345	2370	18182
346	2374	18155
347	2379	18131
348	2383	18103
349	2387	18079
350	2392	18054
351	2396	18029
352	2400	18003
353	2405	17979
354	2409	17955
355	2414	17930
356	2418	17906
357	2423	17883
358	2427	17857
359	2431	17832
360	2436	17809
361	2440	17783
362	2444	17760
363	2449	17741
364	2454	17718
365	2458	17692
366	2462	17669
367	2467	17645
368	2471	17619
369	2475	17593
370	2479	17572
371	2485	17555
372	2489	17534
373	2494	17513
374	2498	17490
375	2502	17466
376	2506	17440
377	2511	17417
378	2515	17393
379	2518	17367
380	2523	17344
381	2527	17322
382	2531	17298
383	2535	17276
384	2540	17255
385	2544	17230
386	2548	17207
387	2552	17183
388	2558	17175
389	2572	17217
390	2583	17236
391	2591	17238
392	2597	17232
393	2602	17216
394	2613	17238
395	2623	17254
396	2638	17300
397	2649	17320
398	2656	17319
399	2667	17336
400	2688	17422
401	2717	17561
402	2751	17732
403	2771	17808
404	2793	17899
405	2814	17981
406	2823	17988
407	2836	18022
408	2844	18019
409	2856	18046
410	2870	18080
411	2878	18082
412	2894	18130
413	2903	18135
414	2910	18127
415	2916	18113
416	2923	18106
417	2930	18103
418	2937	18093
419	2942	18073
420	2950	18072
421	2956	18063
422	2968	18083
423	2978	18095
424	2985	18088
425	2994	18091
426	2999	18077
427	3006	18065
428	3015	18070
429	3022	18062
430	3031	18070
431	3039	18068
432	3048	18072
433	3060	18095
434	3073	18125
435	3082	18125
436	3092	18138
437	3100	18133
438	3107	18127
439	3113	18114
440	3125	18137
441	3137	18155
442	3143	18143
443	3148	18124
444	3154	18109
445	3159	18093
446	3164	18075
447	3169	18055
448	3174	18033
449	3178	18012
450	3183	17992
451	3188	17971
452	3192	17951
453	3197	17932
454	3202	17911
455	3206	17891
456	3211	17870
457	3216	17852
458	3221	17831
459	3226	17813
460	3230	17793
461	3235	17775
462	3240	17754
463	3244	17734
464	3249	17713
465	3253	17694
466	3258	17674
467	3263	17654
468	3267	17633
469	3272	17613
470	3277	17597
471	3282	17579
472	3286	17558
473	3291	17541
474	3296	17523
475	3301	17505
476	3305	17486
477	3310	17467
478	3315	17447
479	3320	17430
480	3324	17410
481	3329	17391
482	3334	17378
483	3339	17361
484	3344	17343
485	3349	17326
486	3354	17308
487	3359	17291
488	3363	17271
489	3368	17254
490	3372	17235
491	3377	17216
492	3382	17198
493	3386	17179
494	3391	17161
495	3396	17144
496	3400	17126
497	3405	17111
498	3410	17094
499	3415	17076
500	3420	17060
501	3424	17041
502	3429	17024
503	3434	17007
504	3438	16989
505	3443	16971
506	3447	16953
507	3452	16935
508	3457	16920
509	3462	16903
510	3466	16885
511	3470	16866
512	3475	16850
513	3479	16830
514	3484	16812
515	3488	16794
516	3493	16776
517	3497	16757
518	3501	16739
519	3506	16722
520	3510	16704
521	3514	16685
522	3519	16667
523	3524	16654
524	3530	16644
525	3543	16666
526	3557	16695
527	3566	16695
528	3579	16719
529	3589	16730
530	3598	16730
531	3609	16744
532	3617	16744
533	3627	16751
534	3638	16766
535	3652	16791
536	3667	16822
537	3676	16824
538	3687	16837
539	3695	16835
540	3704	16836
541	3711	16831
542	3719	16832
543	3727	16826
544	3740	16847
545	3751	16863
546	3760	16862
547	3771	16874
548	3779	16873
549	3791	16887
550	3799	16888
551	3807	16886
552	3815	16885
553	3829	16905
554	3838	16907
555	3844	16900
556	3851	16893
557	3859	16889
558	3871	16906
